	5		10		15		20
10	0.98	0.948	0.915	0.876
15	0.97	0.925	0.877	0.823
20	0.959	0.901	0.841	0.774
25	0.947	0.877	0.804	0.729
30	0.936	0.852	0.769	0.686
45	0.895	0.769	0.658	0.557
60	0.831	0.658	0.529	0.425
