	10		20		30		40		60		80		100		140		200		300
0	0.340	0.357	0.381	0.391	0.442	0.461	0.485	0.526	0.589	0.662
1	0.338	0.358	0.378	0.392	0.459	0.478	0.503	0.545	0.609	0.683
2	0.478	0.494	0.534	0.533	0.488	0.505	0.531	0.571	0.636	0.711
3	0.587	0.615	0.655	0.652	0.535	0.547	0.577	0.614	0.679	0.751
4	0.665	0.695	0.733	0.739	0.630	0.648	0.670	0.707	0.760	0.820
5	0.722	0.759	0.794	0.802	0.732	0.743	0.772	0.806	0.860	0.906
6	0.762	0.801	0.837	0.848	0.802	0.817	0.841	0.873	0.918	0.955
7	0.790	0.836	0.871	0.883	0.855	0.870	0.893	0.922	0.965	0.994
8	0.808	0.861	0.896	0.911	0.894	0.906	0.929	0.956	0.993	1.016
9	0.823	0.878	0.910	0.928	0.920	0.935	0.956	0.981	1.015	1.034
10	0.831	0.894	0.926	0.940	0.941	0.955	0.975	0.998	1.029	1.046
11	0.837	0.901	0.935	0.952	0.957	0.969	0.988	1.010	1.040	1.054
12	0.840	0.907	0.943	0.959	0.967	0.979	0.999	1.019	1.047	1.058
13	0.841	0.911	0.948	0.963	0.974	0.987	1.005	1.025	1.051	1.061
14	0.839	0.912	0.949	0.965	0.978	0.991	1.009	1.030	1.054	1.063
15	0.839	0.912	0.950	0.966	0.981	0.994	1.012	1.031	1.055	1.064
16	0.837	0.912	0.946	0.966	0.984	0.995	1.013	1.032	1.056	1.064
17	0.834	0.911	0.946	0.964	0.984	0.995	1.011	1.032	1.056	1.063
18	0.830	0.907	0.943	0.963	0.982	0.995	1.012	1.031	1.054	1.063
19	0.829	0.904	0.941	0.961	0.982	0.995	1.010	1.029	1.054	1.061
20	0.825	0.903	0.940	0.960	0.980	0.992	1.008	1.029	1.052	1.060
21	0.822	0.899	0.938	0.956	0.978	0.991	1.008	1.028	1.050	1.058
22	0.818	0.895	0.938	0.955	0.975	0.987	1.005	1.025	1.049	1.056
23	0.815	0.891	0.933	0.953	0.972	0.986	1.004	1.024	1.047	1.055
24	0.811	0.888	0.931	0.950	0.971	0.984	1.002	1.021	1.044	1.053
25	0.809	0.883	0.925	0.947	0.969	0.981	0.998	1.020	1.043	1.052
26	0.804	0.881	0.922	0.944	0.965	0.979	0.996	1.016	1.041	1.050
27	0.798	0.877	0.918	0.940	0.963	0.977	0.993	1.014	1.038	1.046
28	0.796	0.874	0.918	0.939	0.960	0.974	0.992	1.013	1.035	1.046
29	0.792	0.868	0.913	0.935	0.958	0.970	0.990	1.011	1.034	1.044
30	0.788	0.866	0.909	0.929	0.955	0.969	0.987	1.008	1.033	1.042
31	0.784	0.861	0.906	0.926	0.950	0.966	0.985	1.006	1.030	1.041
32	0.780	0.858	0.903	0.924	0.949	0.964	0.982	1.004	1.029	1.038
33	0.775	0.856	0.899	0.918	0.946	0.960	0.980	0.999	1.025	1.035
34	0.774	0.853	0.895	0.917	0.943	0.959	0.977	1.000	1.025	1.035
35	0.767	0.849	0.892	0.914	0.940	0.955	0.975	0.996	1.022	1.032
36	0.765	0.844	0.889	0.911	0.936	0.953	0.972	0.994	1.021	1.031
37	0.761	0.841	0.886	0.908	0.934	0.949	0.969	0.990	1.018	1.029
38	0.758	0.839	0.881	0.903	0.932	0.948	0.966	0.990	1.016	1.027
39	0.753	0.833	0.879	0.902	0.928	0.945	0.963	0.987	1.014	1.024
40	0.751	0.830	0.875	0.896	0.925	0.943	0.963	0.985	1.011	1.023
41	0.746	0.825	0.871	0.895	0.922	0.939	0.958	0.982	1.009	1.021
42	0.743	0.822	0.868	0.889	0.920	0.937	0.956	0.980	1.008	1.019
43	0.739	0.818	0.865	0.887	0.915	0.933	0.953	0.977	1.006	1.018
44	0.736	0.814	0.861	0.885	0.913	0.931	0.952	0.976	1.003	1.015
45	0.733	0.811	0.857	0.881	0.910	0.929	0.949	0.973	1.002	1.013
46	0.730	0.808	0.853	0.879	0.906	0.925	0.947	0.970	0.998	1.011
47	0.727	0.806	0.849	0.875	0.904	0.923	0.942	0.967	0.997	1.009
48	0.720	0.801	0.845	0.871	0.900	0.920	0.941	0.964	0.993	1.007
